,word string,0
14871,General Mills Inc,True
14897,Lower East Side,True
14903,Ruger Co,True
14927,The Lights,True
15180,Naspers Ltd,True
15192,Hong Kong Exchanges,True
15198,Ford Motor Co,True
15279,Bain Capital Partners LLC,True
15280,KKR Financial Holdings,True
15313,NU Skin,True
15313,Deckers Outdoor Corp,True
15371,Jtekt Corp,True
15531,MF Global Holdings Ltd,True
15692,Target Corp,True
15783,Pie Face,True
15863,Republican Congressmen,True
15933,Snow White,True
15963,JPMorgan Chase Bank,True
15982,Barclays Plc,True
16015,Fox Sports Media Group,True
16042,Mountain View,True
16046,Enron Corp,True
16265,Shinsei Bank Ltd,True
16332,Sutter Hill Ventures,True
16334,Matt Mazewski,True
16355,USA Gymnastics Hall,True
16391,Jet Plc,True
16393,William Raveis,True
16428,FlickrDave Lutz,True
16435,Aviva Group,True
16441,The Vanguard Group,True
16520,Jefferies Finance LLC,True
16552,Net Jets,True
16667,Sirius XM,True
16714,Eric Nelson,True
16764,Katie Rushkewicz Reichart,True
16836,Kalos Golf,True
17003,Nikka Whisky Company,True
17016,Affiliated Managers Group,True
17104,SeaWorld Entertainment,True
17118,New Albany,True
17173,One Dell,True
17284,BATS Global Markets,True
17389,Grosvenor Property Group,True
17425,Easter Holiday,True
17467,Cabot Money Management,True
17497,Casa Herbalife,True
17498,GE Capital,True
17612,HJ Heinz Company,True
17625,While JMP Group,True
17667,Liz Robbins,True
17691,Holdings Inc,True
17715,WH Group,True
17770,CNBC Delivering Alpha,True
17785,Peter Minuit,True
17829,Ryan W,True
17940,The Washington PostA,True
18032,Kaisa Group,True
18043,Omnicare Inc,True
18108,HTC Corp,True
18181,Stephen Ellis,True
18266,Regency Wealth Management,True
18287,SPI Group,True
18300,Arizona Public Service Co,True
18352,Green Mountain Coffee Roasters,True
18578,Richard L,True
18621,Lego Group,True
18683,Beam Inc,True
18685,Scranton Times-Tribune,True
18693,Kraft Foods Group Inc,True
18705,Insigma Technology Co Ltd,True
18746,After U,True
18854,Simran Capital Management,True
18905,Bunge Ltd,True
18957,John Thiel,True
19094,Dwolla Inc,True
19162,Susquehanna Bancshares Inc,True
19165,OUR Walmart,True
19179,Orcam Financial Group,True
19242,Nielsen Jr,True
19253,The Rights Plan,True
19293,Boston University School,True
19382,DLF Ltd,True
19429,Eric J,True
19471,Myojo Asset Management,True
19519,New York Knicks,True
19531,Retail Geeks,True
19576,The Hammerstone Group,True
19588,Google Incs YouTube,True
19620,Washington PostA Co,True
19641,New York Mellon Corp,True
19661,Ron Surdam,True
19743,Bob Doll,True
19771,Elmrox Investment Group,True
19821,Visa Inc,True
19881,Securus Wealth Management,True
